Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",39.6240,36.8600,-90.0000,bottom
"C2","1uF","C_0805_2012Metric",32.5780,34.9900,180.0000,bottom
"C3","100nF","C_0805_2012Metric",25.4000,38.8950,90.0000,bottom
"C4","100nF","C_0805_2012Metric",25.4000,42.9260,90.0000,bottom
"C5","3n3","C_0805_2012Metric",40.3440,39.8780,0.0000,bottom
"C6","100nF","C_0805_2012Metric",25.4000,34.8640,-90.0000,bottom
"C7","100nF","C_0805_2012Metric",18.5420,57.9120,0.0000,bottom
"C8","47uF/6V3","C_0805_2012Metric",51.5620,13.7160,0.0000,bottom
"C9","100nF","C_0805_2012Metric",65.6590,18.5420,0.0000,bottom
"C10","1uF","C_0805_2012Metric",74.2950,22.6060,90.0000,bottom
"C11","1nF","C_0805_2012Metric",73.1520,25.9080,0.0000,bottom
"C12","100nF","C_0805_2012Metric",66.8020,27.3050,0.0000,bottom
"C13","10uF","C_0805_2012Metric",66.8020,30.0990,0.0000,bottom
"C14","47uF/6V3","C_0805_2012Metric",61.5950,30.0990,180.0000,bottom
"C15","47uF/6V3","C_0805_2012Metric",59.4360,33.5890,-90.0000,bottom
"C16","47uF/6V3","C_0805_2012Metric",58.9280,39.3700,0.0000,bottom
"C17","10uF","C_0805_2012Metric",58.9280,41.9100,0.0000,bottom
"C18","100nF","C_0805_2012Metric",51.3080,49.0220,90.0000,bottom
"C19","10pF","C_0805_2012Metric",51.8160,53.5940,180.0000,bottom
"C20","10uF/6V3","C_0805_2012Metric",58.4200,51.5620,0.0000,bottom
"C21","47uF/6V3","C_0805_2012Metric",58.4200,54.3560,0.0000,bottom
"C22","47uF/6V3","C_0805_2012Metric",58.4200,57.1500,0.0000,bottom
"D1","ORAGE","LED_1206",3.8100,49.5600,180.0000,bottom
"D2","ORAGE","LED_1206",3.8100,45.5600,180.0000,bottom
"D3","ORAGE","LED_1206",3.8100,41.5600,180.0000,bottom
"D4","ORAGE","LED_1206",3.8100,37.5600,180.0000,bottom
"D5","ORAGE","LED_1206",3.8100,33.5600,180.0000,bottom
"D6","ORAGE","LED_1206",3.8100,29.5600,180.0000,bottom
"D7","ORAGE","LED_1206",3.8100,25.5600,180.0000,bottom
"D8","ORAGE","LED_1206",3.8100,21.5600,180.0000,bottom
"D9","15MQ040N","D_SMA",61.9760,24.6380,-90.0000,bottom
"D10","SMBJ5.0A","D_SMA",67.0560,35.3060,90.0000,bottom
"F1","1,1A","Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder",23.8760,11.9380,-90.0000,bottom
"R1","47k","R_0805_2012Metric",42.1640,61.9760,180.0000,bottom
"R2","47k","R_0805_2012Metric",30.9880,61.4680,0.0000,bottom
"R3","47k","R_0805_2012Metric",38.2035,61.9760,0.0000,bottom
"R4","10K NTC","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",45.2120,35.5600,0.0000,top
"R5","1K","R_0805_2012Metric",35.5600,34.2900,90.0000,bottom
"R6","100R","R_0805_2012Metric",22.3520,35.8140,0.0000,bottom
"R7","100R","R_0805_2012Metric",22.3520,41.9100,0.0000,bottom
"R8","0R01 75PPM","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",18.2880,38.8620,90.0000,bottom
"R9","270R","R_0805_2012Metric",8.2785,49.5600,0.0000,bottom
"R10","270R","R_0805_2012Metric",8.2785,45.5600,0.0000,bottom
"R11","270R","R_0805_2012Metric",8.2785,41.5600,0.0000,bottom
"R12","270R","R_0805_2012Metric",8.2785,37.5600,0.0000,bottom
"R13","270R","R_0805_2012Metric",8.2785,33.5600,0.0000,bottom
"R14","270R","R_0805_2012Metric",8.2785,29.5600,0.0000,bottom
"R15","270R","R_0805_2012Metric",8.2785,25.5600,0.0000,bottom
"R16","270R","R_0805_2012Metric",8.2785,21.5600,0.0000,bottom
"R17","1k","R_0805_2012Metric",61.8255,18.5420,0.0000,bottom
"R18","1k","R_0805_2012Metric",70.6120,18.5420,0.0000,bottom
"R19","1k","R_0805_2012Metric",77.4700,21.4630,0.0000,bottom
"R20","1k","R_0805_2012Metric",77.4700,23.7490,0.0000,bottom
"R21","0R47","R_1206_3216Metric",62.7380,34.9250,-90.0000,bottom
"R22","560k","R_0805_2012Metric",69.8500,27.8365,90.0000,bottom
"R23","270k","R_0805_2012Metric",73.1520,28.3210,180.0000,bottom
"R24","10k","R_0805_2012Metric",55.3720,41.4020,90.0000,bottom
"R25","560k","R_0805_2012Metric",54.8640,54.6100,-90.0000,bottom
"R26","100k","R_0805_2012Metric",54.2525,51.5620,180.0000,bottom
"U1","BQ34Z100","TSSOP-14_4.4x5mm_Pitch0.65mm",32.5120,39.8780,180.0000,bottom
"U2","SN74HC164D","SO-14_3.9x8.65mm_P1.27mm",20.0660,51.8160,180.0000,bottom
"U3","SPV1040","TSSOP-8_4.4x3mm_P0.65mm",68.5800,22.6060,0.0000,bottom
"X1","TPS63060","Texas_S-PWSON-N10_ThermalVias",57.9120,46.4820,90.0000,bottom
